Date,Open,High,Low,Close,Volume
01/08/2023 16:00:00,196.24,196.73,195.28,195.61,35281426
02/08/2023 16:00:00,195.04,195.18,191.85,192.58,50389327
03/08/2023 16:00:00,191.57,192.37,190.69,191.17,62243282
04/08/2023 16:00:00,185.52,187.38,181.92,181.99,115956841
07/08/2023 16:00:00,182.13,183.13,177.35,178.85,97576069
08/08/2023 16:00:00,179.69,180.27,177.58,179.8,67823003
09/08/2023 16:00:00,180.87,180.93,177.01,178.19,60378492
10/08/2023 16:00:00,179.48,180.75,177.6,177.97,54686851
11/08/2023 16:00:00,177.32,178.62,176.55,177.79,52036672
14/08/2023 16:00:00,177.97,179.69,177.31,179.46,43675627
15/08/2023 16:00:00,178.88,179.48,177.05,177.45,43622593
16/08/2023 16:00:00,177.13,178.54,176.5,176.57,46964857
17/08/2023 16:00:00,177.14,177.51,173.48,174,66062882
18/08/2023 16:00:00,172.3,175.1,171.96,174.49,61172150
21/08/2023 16:00:00,175.07,176.13,173.74,175.84,46311879
22/08/2023 16:00:00,177.06,177.68,176.25,177.23,42084245
23/08/2023 16:00:00,178.52,181.55,178.33,181.12,52722752
24/08/2023 16:00:00,180.67,181.1,176.01,176.38,54945798
25/08/2023 16:00:00,177.38,179.15,175.82,178.61,51449594
28/08/2023 16:00:00,180.09,180.59,178.55,180.19,43820697
29/08/2023 16:00:00,179.7,184.9,179.5,184.12,53003948
30/08/2023 16:00:00,184.94,187.85,184.74,187.65,60813888
31/08/2023 16:00:00,187.84,189.12,187.48,187.87,60794467
01/09/2023 16:00:00,189.49,189.92,188.28,189.46,45766503
05/09/2023 16:00:00,188.28,189.98,187.61,189.7,45280027
06/09/2023 16:00:00,188.4,188.85,181.47,182.91,81755816
07/09/2023 16:00:00,175.18,178.21,173.54,177.56,112488803
08/09/2023 16:00:00,178.35,180.24,177.79,178.18,65602066
11/09/2023 16:00:00,180.07,180.3,177.34,179.36,58953052
12/09/2023 16:00:00,179.49,180.13,174.82,176.3,90370192
13/09/2023 16:00:00,176.51,177.3,173.98,174.21,84267928
14/09/2023 16:00:00,174,176.1,173.58,175.74,60895757
15/09/2023 16:00:00,176.48,176.5,173.82,175.01,109259461
18/09/2023 16:00:00,176.48,179.38,176.17,177.97,67257573
19/09/2023 16:00:00,177.52,179.63,177.13,179.07,51826941
